dT,import_price,export_price,RealHour
1,0.0901,0.08,18
1,0.0901,0.08,19
1,0.0901,0.08,20
1,0.0901,0.08,21
1,0.0901,0.08,22
1,0.0901,0.08,23
1,0.0901,0.08,24
1,0.0901,0.08,1
1,0.1558,0.08,2
1,0.1558,0.08,3
1,0.2232,0.08,4
1,0.2232,0.08,5
1,0.1558,0.08,6
1,0.1558,0.08,7
1,0.1558,0.08,8
1,0.1558,0.08,9
1,0.1558,0.08,10
1,0.1558,0.08,11
1,0.2232,0.08,12
1,0.2232,0.08,13
1,0.1558,0.08,14
1,0.1558,0.08,15
1,0.0901,0.08,16
1,0.0901,0.08,17
