,grid_import_ph1,grid_import_ph2,grid_import_ph3
1,935.402682,1041.5509200000001,1147.6991580000001
2,865.153715,963.335452,1061.5171890000001
3,1776.4360633333333,1882.640272333333,1988.8444823333332
4,1060.190925,1178.156606,1296.1222870000001
5,1406.147204312715,1515.652077312715,1625.1569503127148
6,1898.6039083333333,2020.3348843333333,2142.0658593333333
7,1657.5193583333332,1769.3133573333332,1881.1073563333332
8,6900.0,900.1180220000001,1041.245572
9,6900.0,406.2402196666667,636.8459156666668
10,6900.0,1070.0804146666667,1455.3109686666664
11,0.0,168.6526306666667,576.3394466666666
12,0.0,0.0,300.69850869739986
13,0.0,0.0,166.6603113333333
14,0.0,0.0,0.0
15,6091.624223333335,0.0,0.0
16,3053.1152491425637,0.0,0.0
17,1713.8162139999997,0.0,0.0
18,1893.3290420000005,0.0,0.0
19,0.0,0.0,122.78353966666702
20,73.04703566666672,193.9723406666667,314.8976456666667
21,269.6588156666669,394.38380266666695,519.1087896666668
22,256.66215966666687,379.8605806666669,503.05900066666686
23,1965.5848273333331,2093.722775333333,2221.860723333333
24,1609.127604402062,1730.1917484020619,1851.255893402062
