,grid_export_ph1,grid_export_ph2,grid_export_ph3
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,239.03418433333314,0.0,0.0
12,494.81578830259986,97.05863930259986,0.0
13,570.028524666667,201.68410666666682,0.0
14,1340.529924666667,1026.2523826666672,711.9748416666669
15,0.0,464.6594836666666,120.94319066666662
16,0.0,374.83907499999987,0.0
17,0.0,293.0918929999998,0.0
18,0.0,203.33547899999985,0.0
19,169.03653533333284,23.12649733333285,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
