,Modo_Operacao
1,IDLE
2,IDLE
3,IDLE
4,IDLE
5,ARB (Charge)
6,ARB (Charge)
7,ARB (Charge)
8,ARB (Charge)
9,SC (Discharge)
10,ARB (Charge)
11,SC (Discharge)
12,SC (Charge)
13,SC (Charge)
14,SC (Charge)
15,SC (Charge)
16,ARB (Charge)
17,ARB (Charge)
18,ARB (Charge)
19,SC (Discharge)
20,SC (Discharge)
21,IDLE
22,IDLE
23,ARB (Charge)
24,ARB (Charge)
