,import_price,export_price,grid_import_ph1,grid_import_ph2,grid_import_ph3,grid_export_ph1,grid_export_ph2,grid_export_ph3,grid_import_ph1*import_price,grid_import_ph2*import_price,grid_import_ph3*import_price,total_grid_import*import_price,grid_export_ph1*export_price,grid_export_ph2*export_price,grid_export_ph3*export_price,total_grid_export*export_price
1,0.0901,0.3,935.402682,1041.5509200000001,1147.6991580000001,0.0,0.0,0.0,84.2797816482,93.84373789200001,103.40769413580001,281.531213676,0.0,0.0,0.0,0.0
2,0.0901,0.3,865.153715,963.335452,1061.5171890000001,0.0,0.0,0.0,77.9503497215,86.7965242252,95.64269872890002,260.38957267560005,0.0,0.0,0.0,0.0
3,0.0901,0.3,943.1027300000001,1049.3069389999998,1155.511149,0.0,0.0,0.0,84.973555973,94.54255520389998,104.11155452489999,283.62766570179997,0.0,0.0,0.0,0.0
4,0.0901,0.3,1060.190925,1178.156606,1296.1222870000001,0.0,0.0,0.0,95.52320234250001,106.1519102006,116.78061805870001,318.45573060180004,0.0,0.0,0.0,0.0
5,0.0901,0.3,985.185005,1094.6898780000001,1204.194751,0.0,0.0,0.0,88.7651689505,98.63155800780001,108.49794706509999,295.8946740234,0.0,0.0,0.0,0.0
6,0.0901,0.3,1065.270575,1187.001551,1308.732526,0.0,0.0,0.0,95.9808788075,106.9488397451,117.9168005926,320.8465191452,0.0,0.0,0.0,0.0
7,0.0901,0.3,824.186025,935.980024,1047.774023,0.0,0.0,0.0,74.2591608525,84.3318001624,94.4044394723,252.99540048720002,0.0,0.0,0.0,0.0
8,0.0901,0.3,6900.0,900.1180220000001,1041.245572,0.0,0.0,0.0,621.6899999999999,81.1006337822,93.8162260372,796.6068598193999,0.0,0.0,0.0,0.0
9,0.1558,0.3,6900.0,1239.573553,1470.179249,0.0,0.0,0.0,1075.02,193.12555955739998,229.0539269942,1497.1994865516,0.0,0.0,0.0,0.0
10,0.1558,0.3,6900.0,1903.413748,2288.6443019999997,0.0,0.0,0.0,1075.02,296.55186193839995,356.57078225159995,1728.1426441899998,0.0,0.0,0.0,0.0
11,0.2232,0.3,0.0,1001.985964,1409.6727799999999,1800.3039924636182,0.0,0.0,0.0,223.6432671648,314.63896449599997,538.2822316608,540.0911977390855,0.0,0.0,540.0911977390855
12,0.2232,0.3,0.0,0.0,318.6463749999998,6900.0,79.11077299999988,0.0,0.0,0.0,71.12187089999996,71.12187089999996,2070.0,23.733231899999964,0.0,2093.7332318999997
13,0.1558,0.3,0.0,0.0,0.0,1403.3618580000002,1035.01744,666.673022,0.0,0.0,0.0,0.0,421.00855740000003,310.50523200000003,200.00190659999998,931.515696
14,0.1558,0.3,0.0,0.0,0.0,2173.8632580000003,1859.5857160000005,1545.3081750000001,0.0,0.0,0.0,0.0,652.1589774,557.8757148000001,463.59245250000004,1673.6271447000001
15,0.1558,0.3,5258.290890000001,0.0,0.0,0.0,1297.9928169999998,954.2765239999999,819.2417206620001,0.0,0.0,819.2417206620001,0.0,389.3978450999999,286.28295719999994,675.6808022999999
16,0.1558,0.3,6035.633061000001,0.0,0.0,0.0,489.52786300000025,114.68878800000039,940.3516309038001,0.0,0.0,940.3516309038001,0.0,146.85835890000007,34.40663640000012,181.26499530000018
17,0.1558,0.3,6252.399288000001,0.0,0.0,0.0,354.50881900000013,61.41692600000033,974.1238090704002,0.0,0.0,974.1238090704002,0.0,106.35264570000004,18.4250778000001,124.77772350000014
18,0.1558,0.3,6634.321605000003,0.0,140.9925629999998,0.0,62.34291600000006,0.0,1033.6273060590004,0.0,21.966641315399965,1055.5939473744004,0.0,18.702874800000018,0.0,18.702874800000018
19,0.2232,0.3,423.30423500000006,569.214273,715.1243099999999,0.0,0.0,0.0,94.48150525200002,127.04862573360002,159.615745992,381.14587697760004,0.0,0.0,0.0,0.0
20,0.2232,0.3,906.380369,1027.305674,1148.230979,0.0,0.0,0.0,202.3040983608,229.2946264368,256.2851545128,687.8838793104,0.0,0.0,0.0,0.0
21,0.1558,0.3,1102.9921490000002,1227.7171360000002,1352.442123,0.0,0.0,0.0,171.84617681420002,191.27832978880002,210.7104827634,573.8349893664,0.0,0.0,0.0,0.0
22,0.1558,0.3,1089.9954930000001,1213.1939140000002,1336.3923340000001,0.0,0.0,0.0,169.82129780940002,189.0156118012,208.2099256372,567.0468352478001,0.0,0.0,0.0,0.0
23,0.0901,0.3,1132.2514939999999,1260.389442,1388.52739,0.0,0.0,0.0,102.01585960939998,113.56108872419999,125.106317839,340.6832661726,0.0,0.0,0.0,0.0
24,0.0901,0.3,1067.890491,1188.954635,1310.01878,0.0,0.0,0.0,96.21693323910002,107.1248126135,118.03269207800001,321.37443793060004,0.0,0.0,0.0,0.0
