,grid_import_ph1,grid_import_ph2,grid_import_ph3
1,1768.7360153333336,1874.8842533333336,1981.0324913333338
2,1562.6355519793897,1660.8172889793896,1758.9990259793897
3,943.1027300000001,1049.3069389999998,1155.511149
4,1060.190925,1178.156606,1296.1222870000001
5,985.185005,1094.6898780000001,1204.194751
6,1065.270575,1187.001551,1308.732526
7,824.186025,935.980024,1047.774023
8,758.9904730000001,900.1180220000001,1041.245572
9,1008.967856,1239.573553,1470.179249
10,1518.1831929999998,1903.413748,2288.6443019999997
11,594.2991489999999,1001.985964,1409.6727799999999
12,-1.7053025658242404e-13,397.75714899999986,795.5142969999995
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,-2.2737367544323206e-13,293.091893,586.1837859999998
18,-1.7053025658242404e-13,203.3354789999999,406.67095799999976
19,423.30423500000006,569.214273,715.1243099999999
20,906.380369,1027.305674,1148.230979
21,1102.9921490000002,1227.7171360000002,1352.442123
22,1089.9954930000001,1213.1939140000002,1336.3923340000001
23,1132.2514939999999,1260.389442,1388.52739
24,1067.890491,1188.954635,1310.01878
