,grid_export_ph1,grid_export_ph2,grid_export_ph3
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,239.03418433333331,0.0,0.0
12,795.5142969999997,397.7571479999997,0.0
13,644.6343279437773,276.28990994377716,0.0
14,1340.529924666667,1026.2523826666672,711.9748416666669
15,808.3757766666665,464.6594836666666,120.94319066666662
16,374.8390760000002,0.0,0.0
17,586.183786,293.0918929999998,0.0
18,265.67839500000014,62.34291600000006,0.0
19,291.82007499999975,145.91003699999976,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
