,grid_import_ph1,grid_import_ph2,grid_import_ph3
1,1356.364881312715,1462.513119312715,1568.661357312715
2,865.153715,963.335452,1061.5171890000001
3,943.1027300000001,1049.3069389999998,1155.511149
4,1060.190925,1178.156606,1296.1222870000001
5,1818.5183383333333,1928.0232113333334,2037.5280843333333
6,1065.270575,1187.001551,1308.732526
7,1657.5193583333332,1769.3133573333332,1881.1073563333332
8,1592.3238063333333,1733.4513553333334,1874.5789053333333
9,175.63452266666673,406.2402196666667,636.8459156666668
10,684.8498596666666,1070.0804146666667,1455.3109686666664
11,0.0,168.6526306666667,576.3394466666666
12,0.0,0.0,0.0
13,0.0,0.0,92.05450805622297
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,374.83907499999987
17,0.0,0.0,0.0
18,0.0,0.0,140.9925629999998
19,0.0,0.0,0.0
20,73.04703566666672,193.9723406666667,314.8976456666667
21,269.6588156666669,394.38380266666695,519.1087896666668
22,256.66215966666687,379.8605806666669,503.05900066666686
23,1965.5848273333331,2093.722775333333,2221.860723333333
24,1609.127604402062,1730.1917484020619,1851.255893402062
