,Modo_Operacao
1,ARB (Charge)
2,ARB (Charge)
3,ARB (Charge)
4,ARB (Charge)
5,ARB (Charge)
6,ARB (Charge)
7,ARB (Charge)
8,ARB (Charge)
9,SC (Discharge)
10,SC (Discharge)
11,SC (Discharge)
12,SC (Charge)
13,SC (Charge)
14,SC (Charge)
15,SC (Charge)
16,SC (Charge)
17,SC (Charge)
18,SC (Charge)
19,SC (Discharge)
20,SC (Discharge)
21,SC (Discharge)
22,SC (Discharge)
23,ARB (Charge)
24,ARB (Charge)
